sowid	cg	nba	parity	nbd	sire	dam	farm	yearmo
985120025552405	62200506	7	1	0	C62LB214	985120022778001	62	200506
985120025552405	62200511	6	2	0	C62LB214	985120022778001	62	200511
985120025552405	62200604	10	3	0	C62LB214	985120022778001	62	200604
985120025552405	62200609	10	4	0	C62LB214	985120022778001	62	200609
985120025610557	62200504	11	1	0	C62LB171	985120011540903	62	200504
985120025611154	62200603	11	1	2	012334	985120025392218	62	200603
985120025612855	62200505	12	1	0	C61LB1437	985120011681308	62	200505
985120025616081	62200505	5	1	0	C62LA2578	985120022786121	62	200505
985120025616081	62200509	10	2	1	C62LA2578	985120022786121	62	200509
985120025616081	62200602	14	3	0	C62LA2578	985120022786121	62	200602
985120025616874	62200603	11	1	1	011865	985120023252531	62	200603
985120025616874	62200608	9	2	1	011865	985120023252531	62	200608
985120025616874	62200701	9	3	0	011865	985120023252531	62	200701
985120025616874	62200705	10	4	2	011865	985120023252531	62	200705
985120025618816	62200510	13	1	0	011864	985120023067435	62	200510
985120025618816	62200602	10	2	1	011864	985120023067435	62	200602
985120025620031	62200508	13	1	0	C60LY12297	985120022799735	62	200508
985120025620031	62200601	11	2	0	C60LY12297	985120022799735	62	200601
985120025620031	62200605	16	3	1	C60LY12297	985120022799735	62	200605
985120025620402	62200508	10	1	0	012697	985120023268164	62	200508
